"","Condition","PP","OCBI","OCBO","IRB"
"1","ItemRand",4.5,4,3,3.71428571428571
"2","ItemRand",4,4.14285714285714,4,5
"3","CSManipulation",3.7,4.14285714285714,4.85714285714286,4.85714285714286
"4","ItemRand",2.7,4.85714285714286,4,4.71428571428571
"5","ScaleRand",3.3,4.28571428571429,4,4.14285714285714
"6","FillerScales",4,4.28571428571429,4.42857142857143,4.28571428571429
"7","CSManipulation",3.3,4.14285714285714,4,3.85714285714286
"8","Control",2.8,4,4.28571428571429,4.42857142857143
"9","ScaleRand",4.2,4.57142857142857,4.85714285714286,5
"10","CSManipulation",3.8,3.42857142857143,3.57142857142857,4.14285714285714
"11","ScaleRand",2.8,4.14285714285714,4.14285714285714,4.28571428571429
"12","Control",4,4.71428571428571,4.85714285714286,5
"13","ItemRand",5,5,5,5
"14","ItemRand",2.5,5,4.71428571428571,5
"15","CSManipulation",3.1,4,4.14285714285714,3.71428571428571
"16","ItemRand",3,4.71428571428571,3.71428571428571,4.42857142857143
"17","CSManipulation",4,4,4,4
"18","FillerScales",2.8,3,3.14285714285714,3.14285714285714
"19","ItemRand",4.4,4.71428571428571,4.57142857142857,5
"20","Control",2.1,2.57142857142857,4,4
"21","ScaleRand",3.7,4.14285714285714,4.28571428571429,4.71428571428571
"22","Control",4.7,4.71428571428571,5,5
"23","ScaleRand",5,5,5,5
"24","ItemRand",4.1,4.42857142857143,4.28571428571429,4.57142857142857
"25","CSManipulation",3.4,3,3.14285714285714,3.14285714285714
"26","CSManipulation",3.6,3.71428571428571,4,4
"27","Control",2.4,2.28571428571429,4.14285714285714,4.85714285714286
"28","CSManipulation",3.6,3.71428571428571,4,4.14285714285714
"29","Control",4.2,4.42857142857143,4.85714285714286,5
"30","CSManipulation",3.7,3.42857142857143,3.85714285714286,4.71428571428571
"31","CSManipulation",4,2.57142857142857,3.57142857142857,4.71428571428571
"32","FillerScales",4.8,5,5,5
"33","ScaleRand",4.7,3.71428571428571,4.42857142857143,5
"34","CSManipulation",3.3,3.85714285714286,3.14285714285714,3.71428571428571
"35","Control",3.8,4,4.28571428571429,5
"36","ItemRand",5,5,5,4.42857142857143
"37","CSManipulation",2.3,1.57142857142857,3.42857142857143,3.85714285714286
"38","FillerScales",2.5,3.42857142857143,4.71428571428571,3.42857142857143
"39","Control",3.6,4,4,4
"40","ItemRand",3.9,4,4.71428571428571,5
"41","Control",3.6,3.57142857142857,4,3
"42","ScaleRand",3.5,2.71428571428571,4,5
"43","Control",2.9,3.14285714285714,3,3.42857142857143
"44","Control",4.5,4.14285714285714,4.42857142857143,4.85714285714286
"45","CSManipulation",3,3.71428571428571,3.85714285714286,3.85714285714286
"46","ScaleRand",4.8,3.85714285714286,4.71428571428571,4.85714285714286
"47","ItemRand",3.6,3.42857142857143,3.28571428571429,3.71428571428571
"48","Control",3.2,4,4.57142857142857,4.85714285714286
"49","Control",4.5,3.71428571428571,4.14285714285714,4.85714285714286
"50","CSManipulation",3.3,2.71428571428571,4,3.57142857142857
"51","ScaleRand",2.9,3.57142857142857,4.57142857142857,4.28571428571429
"52","FillerScales",4.2,4,4.42857142857143,4.85714285714286
"53","Control",4.5,4.71428571428571,4.71428571428571,5
"54","CSManipulation",3.5,3.57142857142857,3.71428571428571,4.14285714285714
"55","FillerScales",2.6,3.14285714285714,3,2.42857142857143
"56","ScaleRand",3.6,3.57142857142857,3.42857142857143,4
"57","FillerScales",4.2,4.14285714285714,4.28571428571429,4.28571428571429
"58","ItemRand",3.8,4,3.42857142857143,3.85714285714286
"59","ScaleRand",4,3.71428571428571,4,3.57142857142857
"60","ItemRand",2.4,3,3.71428571428571,3.85714285714286
"61","ScaleRand",3.4,3.71428571428571,3.28571428571429,3.28571428571429
"62","FillerScales",3.8,4,4,3.85714285714286
"63","ScaleRand",4.1,5,4.57142857142857,5
"64","Control",4.1,3,3.42857142857143,3.28571428571429
"65","FillerScales",3.4,3.71428571428571,4.28571428571429,4.14285714285714
"66","FillerScales",3.6,4.28571428571429,4,4.71428571428571
"67","FillerScales",4,4,3.85714285714286,4
"68","Control",3.4,4,4.14285714285714,4.28571428571429
"69","ScaleRand",4,5,4.85714285714286,5
"70","ItemRand",3.2,4,4.42857142857143,4.28571428571429
"71","FillerScales",2.8,3.57142857142857,4.14285714285714,4.28571428571429
"72","ItemRand",4.6,4.28571428571429,4.28571428571429,4.71428571428571
"73","Control",3.6,4.42857142857143,4.28571428571429,5
"74","FillerScales",2.9,3.14285714285714,2.28571428571429,3.14285714285714
"75","Control",3.4,3.71428571428571,3.71428571428571,4
"76","ItemRand",4.4,4.14285714285714,3.85714285714286,4.14285714285714
"77","ScaleRand",3.2,4,3.85714285714286,4
"78","FillerScales",2.8,4,2.28571428571429,3.14285714285714
"79","FillerScales",5,5,5,5
"80","ItemRand",3.7,3.71428571428571,4.42857142857143,4.42857142857143
"81","ScaleRand",3.2,3.71428571428571,3.85714285714286,4.85714285714286
"82","ItemRand",3.5,4,4.14285714285714,4
"83","ScaleRand",4,4.42857142857143,4.71428571428571,5
"84","ItemRand",4.3,4,3.85714285714286,4.14285714285714
"85","ScaleRand",4.1,3.85714285714286,4.14285714285714,4
"86","ScaleRand",4.9,3.14285714285714,4.42857142857143,5
"87","Control",3.2,4.14285714285714,4.14285714285714,4
"88","ItemRand",4.9,3.71428571428571,4.14285714285714,4.14285714285714
"89","CSManipulation",3.7,4.28571428571429,2.85714285714286,3.14285714285714
"90","CSManipulation",3.6,4.71428571428571,4.42857142857143,4.71428571428571
"91","ItemRand",3.8,3.28571428571429,4.14285714285714,3.42857142857143
"92","Control",3.5,3.42857142857143,4.14285714285714,3.71428571428571
"93","ScaleRand",4.1,5,5,4.85714285714286
"94","CSManipulation",4,3.71428571428571,4,4
"95","ScaleRand",4.4,3.71428571428571,3.85714285714286,4.85714285714286
"96","CSManipulation",4.1,3.85714285714286,4.28571428571429,4
"97","ScaleRand",3.2,3.28571428571429,3.71428571428571,3.71428571428571
"98","ScaleRand",4.8,3.28571428571429,5,5
"99","ScaleRand",3.5,4.14285714285714,4.42857142857143,5
"100","CSManipulation",4.2,4.42857142857143,4.85714285714286,5
"101","FillerScales",3.7,3.71428571428571,4.28571428571429,4.14285714285714
"102","CSManipulation",3.8,4,4.14285714285714,3.85714285714286
"103","ItemRand",3.8,4.14285714285714,4,4
"104","CSManipulation",4.1,4.14285714285714,3.85714285714286,4.14285714285714
"105","FillerScales",3.8,4.14285714285714,3.71428571428571,4.28571428571429
"106","CSManipulation",3.2,3.28571428571429,3.14285714285714,3.42857142857143
