pool_id,title,authors,year,journal,publisher_outlet,publisher_outlet_detail,doi,ebsco_an,ebsco_search_position,in_master,master_article_id,pool_status,gap_reason,pdf_status,examination_status,zotero_key,pdf_path,sort_rank,notes
P0001,'Volunteers are incompetent': how the stereotype of incompetence impacts new volunteer's participation.,"Miao, Qing ; Huang, Jinhao ; He, Yuhang ; Pan, Chao",2026,Public Management Review,Taylor & Francis,Public Management Review,10.1080/14719037.2024.2436049,190954360,85,Y,M0266,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0266_Qing Miaoa_2024_Volunteers_are_incompetent_how_the_stereotype_of.pdf,1,ebsco_search_position=85;ebsco_record_range=51-100
P0002,A Bayesian analysis of determinants of open science utilization among Gen Z students in Vietnamese universities challenges digital native assumptions.,"Thi Tuyet Le, Trinh ; Nguyen, Ho ; Le, Minh-Cuong ; Vo, Mai Xuan ; Pham, Thi-Quynh ; Ho, Manh-Tung ; Nguyen, Hong-Kong T.",2026,Discover Education,Springer,Discover Education,10.1007/s44217-026-01667-8,194006173,57,Y,M0238,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0238_Williams_2026_RESEARCH.pdf,2,ebsco_search_position=57;ebsco_record_range=51-100
P0003,"A study on the relationship between digital leadership, digital self-efficacy, and work engagement: the moderating role of technostress.","Li, Jingke ; Wang, Yongkang ; Han, Joongoo",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1751207,191920997,107,Y,M0287,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0287_Li_2026_A_study_on_the_relationship_between_digital_lead.pdf,3,ebsco_search_position=107;ebsco_record_range=101-150
P0004,Accelerating digital transformation: key drivers of cloud computing adoption and firm performance outcomes in Malaysian SMEs.,"Subramaniam, Anusuiya ; Teh, Raymond",2026,Future Business Journal,Springer,Future Business Journal,10.1186/s43093-025-00711-7,191207723,78,Y,M0259,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0259_:_2026_Accelerating_digital_transformation_key_drivers.pdf,4,ebsco_search_position=78;ebsco_record_range=51-100
P0005,Algorithm aversion among workers in on-demand platforms: an exploration in the context of ride-hailing.,"Shen, Junjie ; Niu, Yanping ; Guo, Ziqing ; Chai, Yandong",2026,Management System Engineering,Springer,Management System Engineering,10.1007/s44176-026-00060-x,191451710,79,Y,M0260,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0260__2026_Algorithm_aversion_among_workers_in_on-demand_pl.pdf,5,ebsco_search_position=79;ebsco_record_range=51-100
P0006,"Analysis of hospital resilience in public health emergencies using structural equation modeling: based on risk perception, resource preparedness, and team collaboration.","Chen, Yunpeng ; Wu, Hao",2026,Frontiers in Public Health,Frontiers,Frontiers in Public Health,10.3389/fpubh.2026.1819684,194179492,53,Y,M0234,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0234_Chen_2026_Analysis_of_hospital_resilience_in_public_health.pdf,6,ebsco_search_position=53;ebsco_record_range=51-100
P0007,Antecedents and Consequences of Customized Product Value.,"Yıldırım, Emre ; Nart, Sima ; Karatepe, Osman M.",2026,Journal of Theoretical & Applied Electronic Commerce Research,MDPI,Journal of Theoretical & Applied Electronic Commerce Research,10.3390/jtaer21030076,192590582,83,Y,M0264,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0264_Karatepe_2026_Antecedents_and_Consequences_of_Customized_Produ.pdf,7,ebsco_search_position=83;ebsco_record_range=51-100
P0008,"Associations among impostor phenomenon, self-compassion, shame, and social anxiety in college students.","He, Chuanchuan ; Ye, Lin",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1777854,193362115,67,Y,M0248,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0248_He_2026_Associations_among_impostor_phenomenon_self-comp.pdf,8,ebsco_search_position=67;ebsco_record_range=51-100
P0009,Beyond coexistence: the asymmetric interplay of health risk and promotion pathways driven by communication legacies across emerging and recurring epidemics.,"Wu, Shaolong ; Wan, Haiyan",2026,Frontiers in Public Health,Frontiers,Frontiers in Public Health,10.3389/fpubh.2026.1835961,193620193,63,Y,M0244,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0244_Wan_2026_Beyond_coexistence_the_asymmetric_interplay_of_h.pdf,9,ebsco_search_position=63;ebsco_record_range=51-100
P0010,"Beyond prompt engineering: the associations among creative self-efficacy, flow state, learner engagement, and psychological ownership in GenAI-assisted composition.","Tong, Tianyu",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1823846,194550564,45,Y,M0226,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0226_Tong_2026_Beyond_prompt_engineering_the_associations_among.pdf,10,ebsco_search_position=45;ebsco_record_range=1-50
