article_id,title,authors,year,journal,doi,pdf_path,screening_status,examination_status,study_order
M0183,How Workplace Fun Promotes Employees' Innovative Behavior: A Dual Mediation Model.,"Wang, Wenwei ; Tang, Jie",2026,Behavioral Sciences (2076-328X),10.3390/bs16050750,review/EBSCO/pdfs/EBSCO_M0183_Wang_2026_How_Workplace_Fun_Promotes_Employees_Innovative.pdf,included,fully_coded,M0183
M0184,The Impact of Artificial Intelligence Usage on Affective Work Well-Being: A Self-Determination Theory Perspective.,"Zhang, Chi ; Chen, Shuping ; Zhang, Dianru ; Zhang, Qichao",2026,Behavioral Sciences (2076-328X),10.3390/bs16050670,review/EBSCO/pdfs/EBSCO_M0184_Zhang_2026_The_Impact_of_Artificial_Intelligence_Usage_on_Affective.pdf,included,fully_coded,M0184
M0185,The impact of cultural tourism experience on cultural identity: A case study of Mazu culture.,"Wang, Mian ; Lee, Hee Seung ; Chen, Wen Qiang",2026,PLoS ONE,10.1371/journal.pone.0346153,review/EBSCO/pdfs/EBSCO_M0185_Wang_2026_The_impact_of_cultural_tourism_experience_on_cul.pdf,excluded_pls,not_read,
M0186,The Green Shield: How Pro-Environmental Advocacy Protects Employees from Supervisor Ostracism.,"Ju, Dong ; Tang, Yan ; Geng, Shu ; Lu, Ruobing ; Wang, Weifeng",2026,Behavioral Sciences (2076-328X),10.3390/bs16020196,review/EBSCO/pdfs/EBSCO_M0186_Ju_2026_The_Green_Shield_How_Pro-Environmental_Advocacy.pdf,included,fully_coded,M0186
M0187,The Relationship Between School Disconnectedness and Adolescent Internet Addiction: A Moderated Mediation Model.,"Cheng, Gonglu ; Bai, Xuejun ; Fu, Shuying",2026,Behavioral Sciences (2076-328X),10.3390/bs16010101,review/EBSCO/pdfs/EBSCO_M0187_Gonglu Cheng_2026_The_Relationship_Between_School_Disconnectedness.pdf,level1_fail,not_read,
M0188,Green Transformational Leadership and Value–Action Barrier on Employees' Pro-Environmental Behavior: The Moderating Role of Green Brand Image in Chinese Food Manufacturing Enterprises.,"Zhong, Liqing ; Hahn, Juhee",2026,Behavioral Sciences (2076-328X),10.3390/bs16010071,review/EBSCO/pdfs/EBSCO_M0188_Liqing Zhong and Juhee Hahn_2026_Green_Transformational_Leadership_and_ValueActio.pdf,included,fully_coded,M0188
M0189,The Impact of Perceived Usefulness of Wearable Devices on Treatment Adherence in Fracture Patients: The Chain Mediating Roles of Self-Efficacy and Meaning in Life.,"Tan, Xiaoxue ; Cai, Shanshan ; Kan, Yanan ; Xu, Nan ; Chen, Ying ; Xu, Min ; Huang, Donghong",2026,Patient Preference & Adherence,10.2147/ppa.s555791,review/EBSCO/pdfs/EBSCO_M0189_Xiaoxue Tan_2026_PPA_A_555791_123.pdf,level1_fail,not_read,
M0190,The effects of peer overqualification on dualistic work passion through the sequential mediation of perceived competitive climate and job anxiety.,"Wang, Li-Yuan ; Kong, Jia-Yue ; Yao, Chun-Liang ; Wang, Miao-Miao",2025,Scientific Reports,10.1038/s41598-025-28658-3,review/EBSCO/pdfs/EBSCO_M0190_Li-Yuan Wang_2025_The_effects_of_peer_overqualification_on_dualist.pdf,level1_fail,not_read,
M0191,"Modeling information literacy in Chinese physical education: the roles of technology integration, teaching practices, self-efficacy, and academic performance.","Zhang, Xiangle ; Tian, Hongxia",2025,Scientific Reports,10.1038/s41598-025-26990-2,review/EBSCO/pdfs/EBSCO_M0191_information use and comprehension. Six hundred fifty undergraduate students from Henan_2025_Modeling_information_literacy_in_Chinese_physica.pdf,level1_fail,not_read,
M0192,The Positive Effects of Employee AI Dependence on Voice Behavior—Based on Power Dependence Theory.,"Liu, Jialin ; Huang, Mingpeng ; Cui, Min ; Tian, Guangdi ; Li, Xinyue",2025,Behavioral Sciences (2076-328X),10.3390/bs15121709,review/EBSCO/pdfs/EBSCO_M0192_Tian_2025_The_Positive_Effects_of_Employee_AI_Dependence_o.pdf,included,fully_coded,M0192
