filename,processed_at,master_id,refid,match_type,pdf_path,status,title,notes
EBSCO-FullText-06_24_2026-8.pdf,2026-06-24T18:35:45Z,M0188,,doi,review/EBSCO/pdfs/EBSCO_M0188_Liqing Zhong and Juhee Hahn_2026_Green_Transformational_Leadership_and_ValueActio.pdf,matched,Green Transformational Leadership and Value–Action Barrier on Employees’ Pro-Environmental Behavior: The Moderating Role of Green Brand Image in Chinese Food Manufacturing Enterprises,
EBSCO-FullText-02_23_2026.pdf,2026-06-24T18:35:55Z,,,,,unmatched,,; no master match
EBSCO-FullText-03_13_2026.pdf,2026-06-24T18:35:55Z,,,,,unmatched,A meta-analysis of the relationship between emotion recognition ability and intelligence,; no master match
EBSCO-FullText-06_24_2026-2.pdf,2026-06-24T18:35:55Z,M0073,142,doi_ambiguous,review/EBSCO/pdfs/EBSCO_M0073_Hu_2019_Disconnecting_to_detach_The_role_of_impaired_rec.pdf,matched,Disconnecting to detach: The role of impaired recovery in negative consequences of workplace telepressure,matched ebsco_export_50_records.csv by DOI
EBSCO-FullText-06_24_2026-3.pdf,2026-06-24T18:35:55Z,M0183,,doi,review/EBSCO/pdfs/EBSCO_M0183_Wang_2026_How_Workplace_Fun_Promotes_Employees_Innovative.pdf,duplicate,How Workplace Fun Promotes Employees’ Innovative Behavior: A Dual Mediation Model,master already has pdf: review/EBSCO/pdfs/EBSCO_M0183_Wang_2026_How_Workplace_Fun_Promotes_Employees_Innovative.pdf
EBSCO-FullText-06_24_2026-7.pdf,2026-06-24T18:35:56Z,M0187,,doi,review/EBSCO/pdfs/EBSCO_M0187_Gonglu Cheng_2026_The_Relationship_Between_School_Disconnectedness.pdf,matched,The Relationship Between School Disconnectedness and Adolescent Internet Addiction: A Moderated Mediation Model,
EBSCO-FullText-06_24_2026-4.pdf,2026-06-24T18:35:56Z,M0184,,doi,review/EBSCO/pdfs/EBSCO_M0184_Zhang_2026_The_Impact_of_Artificial_Intelligence_Usage_on_Affective.pdf,matched,The Impact of Artificial Intelligence Usage on Affective Work Well-Being: A Self-Determination Theory Perspective,"MDPI Behav. Sci. 2026,16,670; CMV Harman 36.115% + ULMF"
EBSCO-FullText-06_24_2026-5.pdf,2026-06-24T18:35:56Z,M0185,,title_fuzzy_1.000,review/EBSCO/pdfs/EBSCO_M0185_Wang_2026_The_impact_of_cultural_tourism_experience_on_cul.pdf,matched,The impact of cultural tourism experience on cultural identity: A case study of Mazu culture,
EBSCO-FullText-06_24_2026-6.pdf,2026-06-24T18:35:56Z,M0186,,doi,review/EBSCO/pdfs/EBSCO_M0186_Ju_2026_The_Green_Shield_How_Pro-Environmental_Advocacy.pdf,matched,The Green Shield: How Pro-Environmental Advocacy Protects Employees from Supervisor Ostracism,
EBSCO-FullText-06_24_2026.pdf,2026-06-24T18:35:56Z,M0679,,doi,review/EBSCO/pdfs/EBSCO_M0679_Pfrombeck_2020_A_study_of_organizational_cynicism_and_how_it_is.pdf,matched,A study of organizational cynicism and how it is affected by social exchange relationships at work,matched ebsco_export_50_records.csv by title
