study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes
3,Hutchins et al. (2018) - What imposters risk at work,"Hutchins, Penney, Sublett",2018,Human Resource Development Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,FALSE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,28,34,TRUE,,,0.2,,FALSE,none,,FALSE,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,4,,,,,,,,,not a concern - insufficient evidence,,CB-SEM,Mplus Version 8,United States,Higher education (university faculty),Cross-sectional,Web-based survey,17%,study3_verification_table.csv,Fixed 2026-06-24: pls_sem_used FALSE (CB-SEM); harman_variance_pct 34; harman_deployed TRUE
4,sustainability-13-09675-v3 (MDPI),Ahmad et al.,2021,Sustainability (MDPI),10.3390/su13179675,MDPI,NA,NA,NA,,,,TRUE,TRUE,FALSE,TRUE,PLS,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,4.6,39.97,TRUE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,344,6,10,1.67,not a concern - common method bias is not an issue,,,,,,,PLS-SEM,,Pakistan,Business-to-business (B2B) sales,Cross-sectional,Survey,,study4_verification_table.csv,"Corrected: MV% from 50% to 4.6% (50% was threshold, not result). PLS methodology - different from CB-SEM. B2B sales organizations in Pakistan."
5,Igalla et al. (2020) - What explains the performance of community-based initiatives,Igalla et al.,2020,Public Management Review,10.1080/14719037.2019.1604796,Taylor & Francis,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct in AMOS; Harman one-factor test in SPSS,,,TRUE,,,,,FALSE,TRUE,anonymity; item pretesting; separation between measures,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,671,9,37,4.11,not a concern - CMB is not a major concern,,,,,,,CB-SEM,AMOS,Netherlands,Community-based initiatives (public sector/third sector),Cross-sectional,Web-based survey,44.73%,study5_verification_table.csv,Uses procedural remedies. No MV% reported - only conclusion. Statistical methods corrected from ESEM to ULMC. Community-based initiatives in Netherlands.
6,Wang and Mangmeechai (2021) - Understanding the gap between environmental intention,Wang and Mangmeechai,2021,International Journal of Environmental Research and Public Health,10.3390/ijerph18020757,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test; Lindell & Whitney marker variable,unmeasured latent method construct (ulmc); Harman's single-factor test; Lindell & Whitney CFA factor test,,53.823,TRUE,0.256,0.516,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,3113,5,16,3.2,not a concern - CMV does not affect the model,,,,,,,CB-SEM,,China (Changsha),Environmental behavior (waste sorting),Two-stage survey,Web-based survey,53.13%,study6_verification_table.csv,"Contradictory: Harman's 53.823% and Lindell & Whitney 51.6% suggest CMV, but authors conclude no CMV based on ULMC p=0.987. Only p-value reported, no MV% from ULMC. Lindell & Whitney: R²₁=0.256 (substantive), R²₂=0.516 (method), ratio 1:2."
7,Niu et al. (2022) - The Influence of Leader Bottom-Line Mentality,Niu et al.,2022,International Journal of Environmental Research and Public Health,,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,Unmeasured Latent Method Construct (ULMC); Harman single factor test,,34.96,TRUE,,,,TRUE,FALSE,TRUE,anonymity; on-the-spot questionnaire collection,FALSE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,422,5,,,no serious common method bias,,,,,,∆χ2/df = 2.75 < 3.84,CB-SEM,Mplus 8.3,China (Liaoning Inner Mongolia Shanxi),Coal mining,Cross-sectional,On-site questionnaire,,,"Harman: 34.96% < 40%. ULMC: ∆χ2/df = 2.75 < 3.84 (critical value). Model improved but not significant. Procedural remedies: anonymity, on-the-spot collection.  [NOTE: Used Williams et al. (2010) cutoff: ∆χ²/df = 2.75 < 3.84. This approach (dividing ∆χ² by df) is unusual - standard practice is chi-square difference test (∆χ² with ∆df) or fit index changes (∆CFI < 0.01). The 3.84 value is χ² critical value for df=1 at p=0.05, but using ∆χ²/df as cutoff may not be appropriate.]"
8,Ahmad et al. (2021) - Understanding the antecedents and consequences,Ahmad et al.,2021,Sustainability (MDPI),10.3390/su13179675,MDPI,NA,NA,NA,,,,TRUE,TRUE,FALSE,TRUE,PLS,ULMC; Harman single factor test,unmeasured latent method construct (ULMC) approach; Harman's single-factor test,4.6,39.97,TRUE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,344,7,,,common method bias is not an issue,,,,,,R1² = 0.642 vs R2² = 0.046,PLS-SEM,,Pakistan,Business-to-business (B2B) sales,Cross-sectional,Survey,,,PLS-SEM methodology. Average substantive variance: 64.2% vs method: 4.6%. Method factor loadings mostly non-significant.
9,Jiang et al. (2020) - The impact of negative informal information,Jiang et al.,2020,International Journal of Environmental Research and Public Health,,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ULMC) to test common method bias,,,FALSE,,,,,FALSE,TRUE,temporal separation,TRUE,neutral,FALSE,Richardson et al. (2009) cited in references,FALSE,FALSE,FALSE,TRUE,FALSE,84.3,,9,,CMV was acceptable,,,,,,∆χ2 = 0.204 ∆df = 3 p > 0.1,CB-SEM,,China,Organizational change,Longitudinal (two-wave),Survey,84.3%,,"Longitudinal design. ULMC: ∆χ2 = 0.204, ∆df = 3, p > 0.1. Richardson et al. (2009) cited but not discussed. [CORRECTED: 9 statements examined for CMV. Mixed design: longitudinal (resistance intention at T1 and T2) + temporal separation (some at T1 only, others at T2 only).]"
10,Eastman et al. (2020) - The impact of future time perspective,Eastman et al.,2020,Journal of Business Research,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Marker variable,unmeasured latent method construct; marker variable (Lindell and Whitney 2001),,,FALSE,,,,,,FALSE,none,anonymity; confidentiality,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,9,,,,,,,,,not explained by common method variance,,CB-SEM,,United States,Consumer behavior (sustainable behaviors),Cross-sectional,Survey,38%,
11,Silic et al. (2020) - The effects of a gamified human resource management,Silic et al.,2020,Human Resource Management Journal,10.1111/1748-8583.12272,Wiley,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct as advocated by Podsakoff et al. (2003); Harman's single factor test,,31,TRUE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,398,10,30,3,likelihood of common method bias was relatively low,,,,,,RMSEA = 0.05,SRMR = 0.07,CFI = 0.91,TLI = 0.91,CB-SEM,,,HRM,Longitudinal (12 months,T1-T2-T3)
12,Lou et al. (2021) - Promoting user participation of shared mobility,Lou et al.,2021,Sustainability (MDPI),10.3390/su13041533,MDPI,NA,NA,NA,,,,TRUE,TRUE,FALSE,TRUE,PLS,ULMC,unmeasured latent method construct (ULMC) approach in PLS,,,FALSE,,,,,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,438,,,,CMB is not a significant problem,,,,,,Substantive: 0.754 vs Method: 0.005 (ratio 150.8:1),PLS-SEM,,China,Bike sharing services,Cross-sectional,Web-based survey,89.7%,,PLS-SEM. Average substantive variance: 0.754 vs method: 0.005. Ratio 150.8:1. Most method factor loadings insignificant.
