study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,predatory_journal_flag,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,multisource_same_construct,different_sources_iv_dv,distinct_sources_other,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_presence_delta_chisq_reported,step1_presence_delta_chisq,step1_presence_pvalue,step1_cmv_indicated,step2_method_r_model_reported,step2_method_r_bias_test_reported,step2_bias_indicated,step3_contamination_reported,step3_indicator_level_mv_reported,step3_construct_level_mv_reported,method_variance_reported_despite_no_bias,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes,master_id,extraction_source,coding_mode
M0183,"Wang, Wenwei (2026) - How Workplace Fun Promotes Employees' Innovative Behavior: A Dual Mediation Mode...","Wang, Wenwei ; Tang, Jie",2026,Behavioral Sciences (2076-328X),10.3390/bs16050750,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,50.0,TRUE,,,,,,TRUE,anonymity; different_sources_iv_dv,FALSE,TRUE,FALSE,FALSE,,,,,,,,TRUE,,,TRUE,,,TRUE,,,,,FALSE,116,,13,,not a concern - method bias in our study does not appear to be a serious,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0183,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0184,"Zhang, Chi (2026) - The Impact of Artificial Intelligence Usage on Affective Work Well-Being: A Self...","Zhang, Chi ; Chen, Shuping ; Zhang, Dianru ; Zhang, Qichao",2026,Behavioral Sciences (2076-328X),10.3390/bs16050670,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"omics and Management, Beijing Jiaotong University, Beijing 100044, China 4 HSBC Business School, Peking University, Beijing 100871, China; drzhang@stu.pku.edu.cn 5 Business School, Beijing Information Science and Te; ness School, Peking University, Beijing 100871, China; drzhang@stu.pku.edu.cn 5 Business School, Beijing Information Science and Technology University, Beijing 102206, China; zhangqichao@bistu.edu.cn * Correspondenc; du.cn 2 School of Marxism, Beijing Jiaotong University, Beijing 10",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,36.12,TRUE,,,,,,TRUE,anonymity; temporal separation; item pretesting; attention checks,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,360,9,,,not a concern - method bias did not serious,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0184,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0186,"Ju, Dong (2026) - The Green Shield: How Pro-Environmental Advocacy Protects Employees from Supervi...","Ju, Dong ; Tang, Yan ; Geng, Shu ; Lu, Ruobing ; Wang, Weifeng",2026,Behavioral Sciences (2076-328X),10.3390/bs16020196,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"acism Dong Ju 1 , Yan Tang 1, Shu Geng 2,*, Ruobing Lu 1,* and Weifeng Wang 1 1 Business School, Beijing Normal University, Beijing 100875, China; dongju@bnu.edu.cn (D.J.); tangyan@mail.bnu.edu.cn (Y.T.); wangweifen",TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,temporal separation; attention checks,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,FALSE,146,,,,concern - CMV is unlikely,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0186,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0188,"Zhong, Liqing (2026) - Green Transformational Leadership and Value–Action Barrier on Employees' Pro-Env...","Zhong, Liqing ; Hahn, Juhee",2026,Behavioral Sciences (2076-328X),10.3390/bs16010071,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity; temporal separation; procedural remedies cited; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,FALSE,51,,,,concern - method bias is unlikely to be a substantial,TRUE,no improvement in model fit with ULMC,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0188,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0192,"Liu, Jialin (2025) - The Positive Effects of Employee AI Dependence on Voice Behavior—Based on Power ...","Liu, Jialin ; Huang, Mingpeng ; Cui, Min ; Tian, Guangdi ; Li, Xinyue",2025,Behavioral Sciences (2076-328X),10.3390/bs15121709,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"Jialin Liu 1 , Mingpeng Huang 1, Min Cui 2,*, Guangdi Tian 3 and Xinyue Li 4 1 Business School, University of International Business and Economics, Beijing 100029, China; 202200320077@uibe.edu.cn (J.L.); hmp@uibe.e; .) 2 School of Management, Northwest Normal University, Lanzhou 730070, China 3 School of Business Administration, Shanxi University of Finance and Economics, Taiyuan 030006, China; tgd@sxufe.edu.cn 4 Party School of S; .) 2 School of Management, Northwest Normal University, Lanzhou ",TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity; temporal separation; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,TRUE,,,,,,,,,,,FALSE,172,,,,,FALSE,,,,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0192,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0193,"Ju, Dong (2025) - The Organizational Halo: How Perceived Philanthropy Awareness Curbs Abusive Supe...","Ju, Dong ; Tang, Yan ; Geng, Shu ; Lu, Ruobing ; Wang, Weifeng",2025,Behavioral Sciences (2076-328X),10.3390/bs15121706,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"Pride Dong Ju 1 , Yan Tang 1, Shu Geng 2,*, Ruobing Lu 1,* and Weifeng Wang 1 1 Business School, Beijing Normal University, Beijing 100875, China; dongju@bnu.edu.cn (D.J.); tangyan@mail.bnu.edu.cn (Y.T.); wangweifen",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,4.46,TRUE,,,,,,TRUE,anonymity; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,TRUE,TRUE,2549.34,0.001,TRUE,,,,,,,,TRUE,,,FALSE,434,,,,not a concern - common method bias was not a problem,TRUE,CMV not a concern (unspecified),,TRUE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0193,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0196,"Leong, Frederick Theen Lok (2025) - The Relationship Between Career Adaptability and Work Engagement Among Young Chi...","Leong, Frederick Theen Lok ; Li, Xuan ; Chen, Emma Mingjing",2025,Behavioral Sciences (2076-328X),10.3390/bs15121682,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,34.05,TRUE,,,,,,TRUE,anonymity; temporal separation; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,311,2,5,2.5,,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0196,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0197,"Akben, Mustafa (2025) - A Paradox of Fit: How Job Complexity Shapes AI Self-Efficacy and AI Adoption Thr...","Akben, Mustafa ; Dong, Su",2025,Behavioral Sciences (2076-328X),10.3390/bs15121659,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"acy and AI Adoption Through a Curvilinear Mechanism Mustafa Akben * and Su Dong Department of Management and Entrepreneurship, Elon University, Elon, NC 27244, USA; sdong@elon.edu * Correspondence: makben@elon.edu",TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,FALSE,none reported,FALSE,FALSE,FALSE,FALSE,,,,,,,,TRUE,,,TRUE,,,,,,,,FALSE,306,,,,not a concern - method bias was not a significant,FALSE,,,TRUE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF; procedural_remedies none reported in PDF,M0197,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0198,"Zhong, Chuling (2025) - Knowledge Sharing in AI-Enabled Workplaces: A Social Cognitive Perspective on Us...","Zhong, Chuling ; Wang, Yao",2025,Behavioral Sciences (2076-328X),10.3390/bs15121635,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,TRUE,"spective on Usefulness Perceptions and Competition Chuling Zhong and Yao Wang * School of Business, China University of Political Science and Law, Beijing 100088, China * Correspondence: wangyao090103@163.com",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,24.5,TRUE,,,,,,TRUE,anonymity; temporal separation; item pretesting; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,519,,,,not a concern - method bias was not a serious,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0198,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0202,"Huang, Maoyong (2025) - The Relationships Between Contingent Reward Leadership, Perceived Organizational...","Huang, Maoyong ; Zhang, Jialing ; Ni, Yakun ; Xu, Yanzhen ; Guo, Tengfei",2025,Psychology in the Schools,10.1002/pits.23604,Wiley,Psychology in the Schools,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity,FALSE,FALSE,FALSE,FALSE,,,,,,,,TRUE,,,,,,,,,,,FALSE,578,,,,,FALSE,,,FALSE,,,,SPSS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0202,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
