journal,n_studies,pct_of_ulmc_corpus,study_orders
Frontiers in Psychology,20,10.9%,37; 40; M0229; M0233; M0237; M0241; M0243; M0246; M0249; M0250; M0280; M0285; M0290; M0292; M0294; M0324; M0325; M0326; M0327; M0739
Behavioral Sciences (2076-328X),15,8.2%,M0183; M0184; M0186; M0188; M0192; M0193; M0196; M0197; M0198; M0211; M0215; M0218; M0220; M0223; M0308
Journal of Business and Psychology,11,6.0%,L2; L4; L39; L89; L90; L110; L113; 26; 30; M0261; M0303
Journal of Business Ethics,9,4.9%,L29; L54; L57; L59; L108; L124; 24; M0318; M0319
Human Resource Management Journal,5,2.7%,L46; L63; L112; 11; 15
Journal of Nursing Management,5,2.7%,L84; M0217; M0267; M0720; M0746
Human Resource Management,4,2.2%,L17; L44; L72; L133
International Journal of Human Resource Management,4,2.2%,L130; M0205; M0300; M0301
Sustainability,4,2.2%,L42; L75; L123; 8
Administrative Sciences (2076-3387),3,1.6%,M0262; M0305; M0306
Human Resource Development Quarterly,3,1.6%,L16; L104; 3
International Journal of Environmental Research and Public Health,3,1.6%,6; 7; 9
Journal of Applied Psychology,3,1.6%,L5; 17; 29
Journal of Business Research,3,1.6%,10; 13; 18
Journal of Occupational and Organizational Psychology,3,1.6%,L98; M0271; M0307
Journal of Theoretical and Applied Electronic Commerce Research,3,1.6%,M0208; M0264; M0265
Management Decision,3,1.6%,L70; L102; L136
MIS Quarterly,3,1.6%,L26; L103; L109
Public Management Review,3,1.6%,L65; 5; M0266
Sustainability (MDPI),3,1.6%,4; 12; 14
Applied Psychology: An International Review,2,1.1%,L66; L126
Behaviour and Information Technology,2,1.1%,M0275; M0314
Corporate Social Responsibility and Environmental Management,2,1.1%,L111; M0216
Current Psychology,2,1.1%,L74; 23
Ethics and Behavior,2,1.1%,L60; 49
Frontiers in Public Health,2,1.1%,M0234; M0296
International Journal of Selection and Assessment,2,1.1%,L64; M0679
Journal of Organizational Behavior,2,1.1%,L106; L129
Journal of Product Innovation Management,2,1.1%,L115; L141
Journal of Work and Organizational Psychology,2,1.1%,L51; L81
PLoS ONE,2,1.1%,M0214; M0219
Psychology Research and Behavior Management,2,1.1%,L86; L92
Academy of Management Learning and Education,1,0.5%,L138
Administrative Science Quarterly,1,0.5%,L128
Annual Review of Organizational Psychology and Organizational Behavior,1,0.5%,27
Applied Psychology,1,0.5%,21
Asia Pacific Journal of Management,1,0.5%,M0302
BMC Medical Informatics and Decision Making,1,0.5%,20
British Journal of Educational Technology,1,0.5%,M0311
"Business Ethics, the Environment and Responsibility",1,0.5%,M0304
Business Strategy and the Environment,1,0.5%,L20
"Community, Work and Family",1,0.5%,M0222
Discover Education,1,0.5%,M0238
European Management Review,1,0.5%,L58
Frontiers in Marine Science,1,0.5%,M0240
Health Care Management Review,1,0.5%,L87
Human Performance,1,0.5%,M0737
Information Systems Research,1,0.5%,25
Information Technology and Management,1,0.5%,L95
Inquiry (00469580),1,0.5%,M0204
International Business Review,1,0.5%,22
International Journal of Business Communication,1,0.5%,L82
International Journal of Physical Distribution and Logistics Management,1,0.5%,28
International Studies of Management and Organization,1,0.5%,M0317
Journal of Environmental Planning and Management,1,0.5%,M0210
Journal of Industrial Ecology,1,0.5%,M0270
Journal of Management Information Systems,1,0.5%,19
Journal of Marketing Management,1,0.5%,L83
Journal of Multidisciplinary Healthcare,1,0.5%,M0245
Journal of Personal Selling and Sales Management,1,0.5%,L94
Journal of Personnel Psychology,1,0.5%,M0257
Journal of Vocational Behavior,1,0.5%,16
Knowledge and Process Management,1,0.5%,L37
Management System Engineering,1,0.5%,M0260
Negotiation and Conflict Management Research,1,0.5%,L122
Nursing Open,1,0.5%,M0203
Psychology in the Schools,1,0.5%,M0202
Public Administration Review,1,0.5%,L45
Public Performance and Management Review,1,0.5%,L71
Public Personnel Management,1,0.5%,L125
Revista de Psicologia del Trabajo y de Las Organizaciones,1,0.5%,M0400
SAGE Open,1,0.5%,M0745
Scientific Reports,1,0.5%,M0213
Service Industries Journal,1,0.5%,M0299
Social Behavior and Personality: an international journal,1,0.5%,L96
Social Indicators Research,1,0.5%,M0309
Sustainability (2071-1050),1,0.5%,L140
Total Quality Management,1,0.5%,L49
Voluntas,1,0.5%,L139
Voluntas: International Journal of Voluntary and Nonprofit Organizations,1,0.5%,M0272
Work and Stress,1,0.5%,L77
