Refid,level1_user,Q1.1,Q1.2,Q1.3,management_domain,empirical_ulmc,not_pls,level1_include,text_extraction,author_fit_claims,ulmc_improves_fit,method_variance_pct,author_conclusion,ulmc_in_final,final_include,source,extraction_date
1,chriscastille6,Yes,No,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
2,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"To quantify the amount of CMV that exists in the sub- stantive indicators, we calculated the average variance accounted for in the indicators by each of the method variables by squaring the standardized MFLs from our retained model in this example, the Method CCMIUU Model (see Table 5) and computing means. The ULMC accounted for an average of 17.2 % of the variance in the substantive indicators, the Measured Cause Variable accounted for an average of 0 % of the variance in the substantive indicators, and the Marker Variable accounted for an average of 10.5 % of the variance in the substantive indicators overall.",The inclusi&oacute;n of a ULMC did improve the fit of the model,Yes,17.2,The authors do not provide a conclusion regarding the role of common method bias,NA,TRUE,legacy_distillersr,2022-2023
3,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
4,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Given that the measurement of creative role expectations, cre- ative self-expectations, perceived necessity of performance improvement, and creative cognitive style was provided by one single informant (i.e., employees), common method var- iance (CMV) may exist and potentially bias observed relation- ships among study variables (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003). To test for CMV and its potential biasing effects, we conducted confirmatory factor analyses (CFAs) using the unmeasured latent method factor approach (Williams & McGonagle, 2016). Following the recommended comprehensive analysis strategy, we first evaluated the mea- surement model to check the convergent and discriminant validity of our main study variables. The results showed that our intended six-factor structure achieved quite good fit with the data (χ2[174] = 276.90, CFI = 0.98, TLI = 0.97, RMSEA = 0.04, SRMR = 0.04) and provided a significantly better fit than a series of alternative models in which the indi- cators of two or more variables were combined (p < 0.001 for all tests). We then added an orthogonal latent method variable to the basic measurement model to test for presence and equal- ity of method effects. The unmeasured latent method factor accounted for an average of 4.98% of the variance in the substantive indicators. Although we found evidence of a very small amount of CMV unequally distributed across substan- tive indicators, it did not affect key factor correlations that are associated with the core part of the research model and its proposed relationships. These findings indicate that CMV should have little to no effects on our hypotheses testing.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,Yes,4.98,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
5,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"To address potential concerns of common method variance, we conducted several post- hoc tests. Utilizing Harman’s one-factor test with all self-report data, we found that one factor did not explain the majority of the variance in this study. As a more robust test and in line with past research (Conger, Kanungo, & Menon, 2000), we also created unmeasured latent method factors in structural equation modeling, connecting all self-report study items to this latent factor and constraining all the paths from this latent factor to be equal. By squaring the resulting regression coefficients from this latent factor, we observed that only 2% of the variance across these items was due to an unmeasured common factor. Furthermore, the association between the study variables was still highly significant (p < .001) when the unmeasured latent method factor was included in the model. Thus, it appears unlikely that our findings are explained by common method variance.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,Yes,2,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
6,chriscastille6,Yes,Yes,NA,TRUE,TRUE,NA,NA,"The unmeasured latent method construct technique (Podsakoff, MacKenzie, & Podsakoff, [61]; Williams & McGonagle, [89]) was used to control for the potential effect of methodological biases (such as the consistency motive and acquiescence). Hence, an unmeasured latent method factor was added to the measurement model, and all the observed variables were allowed to load on their respective theoretical constructs and on the method factor. The method‐factor loadings were constrained to be equal, for identification purposes. The fit of the model with the method factor was not significantly better than the fit of the original measurement model (Δχ 2 [5 df] = 10.046; p > 0.05). The observed variables also loaded on their corresponding latent factors. Finally, as Fuller, Simmering, Atinc, Atinc, and Babin ([24]) state, common method variance can exist at relatively high levels (70% or more) in typical survey‐based business research before common method bias is likely to alter the conclusions. Common method bias is thus unlikely to threaten the validity of the findings.",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,NA,legacy_distillersr,2022-2023
7,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
8,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
9,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
10,chriscastille6,Yes,Yes,Yes,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
11,chriscastille6,Yes,No,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
12,chriscastille6,Yes,No,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
13,chriscastille6,Yes,No,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
14,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
15,chriscastille6,No,Yes,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
16,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"Because Harman's single factor test has been criticized by some for being an inferior, “insensitive test” (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003, p. 889), we decided to implement a second, more advanced approach to test for potential common method bias that evaluates the effects of an unmeasured latent method con- struct (ULMC; Podsakoff et al., 2003; Williams & McGonagle, 2016). Specifically, we compared the results of two models using structural equation modeling in Mplus Version 8. Model 1 included all theorized latent variables identi- fied by their respective self-reported items. Model 2 was identical to Model 1 with the sole addition of an uncorre- lated latent variable, which we named “CMV,” that was identified by all study items. We compared Model 1 and Model 2 and found that the factor loadings of the items on their respective constructs in Model 1 were all signifi- cant (p < .01), and the significance of the items on their respective constructs remained entirely unchanged by the addition of the CMV latent variable in Model 2. The average change in standardized factor loadings of items on the respective constructs between Model 1 and Model 2 was minimal (average Δβ = .20). Furthermore, the variance explained by CMV in Model 2, calculated as the average squared standardized item factor loadings, was 28%, which again falls below the 50% threshold. Thus, our results indicate there is insufficient evidence to assert a single latent factor (CMV) significantly modified the relationships among the study variables.",The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,Yes,28,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
17,chriscastille6,Yes,Yes,No,TRUE,TRUE,TRUE,TRUE,"As identified by Podsakoff et al. (2003), common method variance may be a concern in studies that rely on self-report survey data. To address this, preventive measures were taken, such as providing response anonymity and using methods found to be valid and reliable by previous research. We also conducted CFAs to test for common method biases. The CFA that included an additional unmeasured latent method construct factor, on which all items loaded, did not have a better model fit (CFI = .97; TLI = .96; RMSEA = .06) than our four-factor full model (ΔCFI = −.01, ΔCFI < .01). As argued by Pod- sakoff et al. (2003), these analyses indicate common method variance is not a significant issue for our data.",The inclusion of a ULMC did not improve the fit of the model (no change in model fit),No,NA,Common method bias does not pose a significant threat to the study conclusions,NA,TRUE,legacy_distillersr,2022-2023
18,chriscastille6,No,Yes,Yes,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,legacy_distillersr,2022-2023
