article_id,title,authors,year,journal,volume,issue,doi,publisher_outlet,ebsco_an,ebsco_search_position,abstract,ebsco_db,ebsco_plink,cover_date,sources,source_import_file,ebsco_batch,legacy_refid,legacy_final_include,legacy_text_snippet,legacy_mv_pct,legacy_match_method,legacy_match_confidence,screening_status,screening_level1_include,screening_notes,extraction_status,study_order,extraction_file,zotero_key,pdf_path,has_pdf,examination_status,pdf_status,corpus_tier,examination_source,examination_updated_at,notes,created_at,updated_at
M0001,Legacy Refid 2 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,2,True,"To quantify the amount of CMV that exists in the sub- stantive indicators, we calculated the average variance accounted for in the indicators by each of the method variables by squaring the standardized MFLs from our retained model in this example, the Method CCMIUU Model (see Table 5) and computing means. The ULMC accounted for an average of 17.2 % of the variance in the substantive indicators, the Measured Cause Variable accounted for an average of 0 % of the variance in the substantive indica",17.2,refid_L_prefix,exact,included,True,,complete,L2,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0002,"To Be (Creative), or not to Be (Creative)? A Sensemaking Perspective to Creative Role Expectations",Liu et al.,2021,Journal of Business & Psychology,,,10.1007/s10869-019-09669-0,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,4,True,"Given that the measurement of creative role expectations, cre- ative self-expectations, perceived necessity of performance improvement, and creative cognitive style was provided by one single informant (i.e., employees), common method var- iance (CMV) may exist and potentially bias observed relation- ships among study variables (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003). To test for CMV and its potential biasing effects, we conducted confirmatory factor analyses (CFAs) using the unmeasured l",4.98,refid_L_prefix,exact,included,True,,complete,L4,systematic_extraction_40_studies.csv,74ZMKM9E,,True,fully_coded,available,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0003,Relational energy at work: Implications for job engagement and job performance.,Owens et al.,2016,Journal of Applied Psychology,,,10.1037/apl0000032,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,5,True,"To address potential concerns of common method variance, we conducted several post- hoc tests. Utilizing Harman’s one-factor test with all self-report data, we found that one factor did not explain the majority of the variance in this study. As a more robust test and in line with past research (Conger, Kanungo, & Menon, 2000), we also created unmeasured latent method factors in structural equation modeling, connecting all self-report study items to this latent factor and constraining all the pat",2,refid_L_prefix,exact,included,True,,complete,L5,systematic_extraction_40_studies.csv,J2MRMKZM,review/EBSCO/pdfs/EBSCO_M0003_construct_In_Study_2016_RELATIONAL_ENERGY_AT_WORK.pdf,True,fully_coded,available,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-30
M0004,What imposters risk at work: Exploring imposter phenomenon consequences for employee health,Hutchins et al.,2018,Human Resource Development Quarterly,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,16,True,"Because Harman's single factor test has been criticized by some for being an inferior, “insensitive test” (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003, p. 889), we decided to implement a second, more advanced approach to test for potential common method bias that evaluates the effects of an unmeasured latent method con- struct (ULMC; Podsakoff et al., 2003; Williams & McGonagle, 2016). Specifically, we compared the results of two models using structural equation modeling in Mplus Version 8. Mod",28,refid_L_prefix,exact,included,True,,complete,L16,systematic_extraction_40_studies.csv,unknown,,True,fully_coded,available,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0005,Legacy Refid 17 - ULMC Study,Legacy Study,,Human Resource Management,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,17,True,"As identified by Podsakoff et al. (2003), common method variance may be a concern in studies that rely on self-report survey data. To address this, preventive measures were taken, such as providing response anonymity and using methods found to be valid and reliable by previous research. We also conducted CFAs to test for common method biases. The CFA that included an additional unmeasured latent method construct factor, on which all items loaded, did not have a better model fit (CFI = .97; TLI =",NA,refid_L_prefix,exact,included,True,,complete,L17,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0006,What explains the performance of community-based initiatives,,2020,Public Management Review,,,10.1080/14719037.2019.1604796,,,,,,,,legacy_182;zotero_inventory,legacy_extracted_data.csv;legacy_182_zotero_inventory.csv,,19,True,"We need to address common method bias (CMB) as our study was based on self- reported data obtained from the same source (Podsakoff et al. 2003). In this study we focus on perceived performance and not on objective performance, which is common in the field of third sector organizations and in the general literature on network performance (e.g. Klijn, Edelenbos, and Steijn 2010; Liu, Takeda, and Ko 2014), making self-reports a relevant measurement method (cf. Conway and Lance 2010). Moreover, asse",NA,refid_direct,exact,included,True,,legacy_only,,,unknown,,True,read_snippet_only,available,legacy_gold,legacy_182;snippet,2026-06-30,,2026-06-26,2026-06-26
M0007,Legacy Refid 20 - ULMC Study,Legacy Study,,Business Strategy and the Environment,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,20,True,"To test for common method variance (CMV), we used a CFA-based version of Harman’s single-factor test (see, e.g., Malhotra et al., 2006). In AMOS, we specified a single method factor, such that it might cause all 14 indicators. The items loaded significantly on the single factor, suggesting that CMV might be source of variance in the observed items. That is, all 14 variables loaded on their theoretical constructs but also on the single latent common method factor (Podsakoff et al., 2003). Therefo",NA,refid_L_prefix,exact,included,True,,complete,L20,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0008,Legacy Refid 26 - ULMC Study,Legacy Study,,MIS Quarterly,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,26,True,"Our study has theoretical and empirical limitations that offer several meaningful opportunities for future research. First, as with all self-reported data, our research is exposed to a possible common method bias, as in our Study 2, which uses data sharing intentions as a dependent variable. We sought to reduce this threat ex ante by implementing procedural remedies recommended by Podsakoff et al. (2003), including guaranteeing the anonymity of survey participants, providing contextual informati",NA,refid_L_prefix,exact,included,True,,complete,L26,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0009,Legacy Refid 29 - ULMC Study,Legacy Study,,Journal of Business Ethics,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,29,True,"The existence of bias due to common method variance (CMV) in mediation study designs can be a fatal flaw, as they are causal in nature. This study has a cross-sectional design, and the data were collected through self-report question- naires, thus increasing the risk that common method variance (CMV) may be present. To prevent these biases, we origi- nally used proactive measures and then ex-post statistical techniques (Podsakoff et al. 2003) to gauge the extent to which our results would be aff",5,refid_L_prefix,exact,included,True,,complete,L29,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
M0010,Legacy Refid 37 - ULMC Study,Legacy Study,,Knowledge and Process Management,,,,,,,,,,,legacy_182;extraction_csv;zotero_inventory,legacy_extracted_data.csv;systematic_extraction_40_studies.csv;legacy_182_zotero_inventory.csv,,37,True,"Finally, using the unmeasured latent method construct (ULMC) approach (Chin, Thatcher, & Wright, 2012; Richardson et al., 2009; L. J. Williams, Cote, & Buckley, 1989), we added a latent construct with no unique observed indicators, but with paths to all the measurement items for the research constructs.5 The ULMC construct, which only captures the method variance, explained only 2% of the variance in the measurement items. Thus, the tests consistently do not find com- mon method bias to be a sig",2,refid_L_prefix,exact,included,True,,complete,L37,systematic_extraction_40_studies.csv,,,False,fully_coded,missing,legacy_gold,extraction_csv;key_fields>=4,2026-06-30,,2026-06-26,2026-06-26
