TMGT-CMV Monte Carlo (1000 reps/cell, N=200, extended=TRUE)

Scenario: null_tmgt (Null TMGT (linear only))
  N = 200
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.062, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.048, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.057, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.048, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.057, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.058, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.044, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.046, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.046, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.054, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.053, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.051, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.052, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=0.054, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.051, Type II X2=NaN, Power X2=NA
  N = 340
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.043, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.063, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.054, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.045, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.045, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=0.052, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.042, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.057, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.041, Type II X2=NaN, Power X2=NA
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.054, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.048, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=0.044, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.040, Type II X2=NaN, Power X2=NA
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=0.055, Type II X2=NaN, Power X2=NA
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=0.050, Type II X2=NaN, Power X2=NA

Scenario: simple_tmgt (Simple TMGT (inverted-U))
  N = 200
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.312, Power X2=0.688
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.684, Power X2=0.316
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.885, Power X2=0.115
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.333, Power X2=0.667
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.714, Power X2=0.286
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.881, Power X2=0.119
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.321, Power X2=0.679
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.711, Power X2=0.289
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.876, Power X2=0.124
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.324, Power X2=0.676
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.701, Power X2=0.299
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.899, Power X2=0.101
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.682, Power X2=0.318
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.688, Power X2=0.312
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.891, Power X2=0.109
  N = 340
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.105, Power X2=0.895
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.540, Power X2=0.460
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.844, Power X2=0.156
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.098, Power X2=0.902
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.492, Power X2=0.508
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.845, Power X2=0.155
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.118, Power X2=0.882
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.522, Power X2=0.478
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.827, Power X2=0.173
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.105, Power X2=0.895
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.528, Power X2=0.472
  CMV=0.50, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.827, Power X2=0.173
  CMV=0.25, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.522, Power X2=0.478
  CMV=0.25, same_source=TRUE, rho=(0.30,0.10,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.480, Power X2=0.520
  CMV=0.50, same_source=TRUE, rho=(0.30,0.00,0.00), asym=TRUE ... Type I X2=NaN, Type II X2=0.827, Power X2=0.173

Scenario: moderated_tmgt (Moderated TMGT (peak shifts with W))
  N = 200
  CMV=0.00, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.356, Power X2=0.644
  CMV=0.25, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.704, Power X2=0.296
  CMV=0.50, same_source=TRUE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.875, Power X2=0.125
  CMV=0.00, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.355, Power X2=0.645
  CMV=0.25, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.703, Power X2=0.297
  CMV=0.50, same_source=FALSE, rho=(0.00,0.00,0.00), asym=FALSE ... Type I X2=NaN, Type II X2=0.899, Power X2=0.101
  CMV=0.00, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.343, Power X2=0.657
  CMV=0.25, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.700, Power X2=0.300
  CMV=0.50, same_source=TRUE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.894, Power X2=0.106
  CMV=0.00, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.367, Power X2=0.633
  CMV=0.25, same_source=FALSE, rho=(0.30,0.30,0.30), asym=FALSE ... Type I X2=NaN, Type II X2=0.706, Power X2=0.294
