"study","scenario","true_b2","n","n_reps","cmv_prop","same_source","measurement_key","measurement_profile","measurement_mode","power_X2","type2_rate_X2","type1_rate_X2","mean_b_X2_tmgt","bias_b_X2"
"ambiversion_power","grant_ambivert",-0.14,340,1000,0,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.554,0.446,NA,-0.114310151731269,0.0256898482687306
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.25,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.256,0.744,NA,-0.061817694698233,0.078182305301767
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.5,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.169,0.831,NA,-0.0366441226319943,0.103355877368006
"ambiversion_power","grant_ambivert",-0.14,500,1000,0,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.713,0.287,NA,-0.112939913079898,0.027060086920102
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.25,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.395,0.605,NA,-0.0624124581699908,0.0775875418300092
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.5,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.22,0.78,NA,-0.0389323401146867,0.101067659885313
"ambiversion_power","grant_ambivert",-0.14,750,1000,0,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.855,0.145,NA,-0.110706419728678,0.0292935802713219
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.25,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.511,0.489,NA,-0.0606474751900838,0.0793525248099162
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.5,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.304,0.696,NA,-0.0384300947135367,0.101569905286463
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.939,0.0610000000000001,NA,-0.110991766146108,0.0290082338538918
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.25,TRUE,"grant","Cumulative (Grant 4-item, alpha ~ .85)","cumulative",0.616,0.384,NA,-0.0609934105073283,0.0790065894926717
