"condition","condition_label","true_b1","true_b2","n","n_reps","scoring","prop_sig","type1_rate","power"
"type1_b1_20","Type I (b1=.20)",0.2,0,340,500,"sum_score",0.154,0.154,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,340,500,"grm_oracle",0.042,0.042,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,500,500,"sum_score",0.184,0.184,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,500,500,"grm_oracle",0.06,0.06,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,1000,500,"sum_score",0.338,0.338,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,1000,500,"grm_oracle",0.068,0.068,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,2000,500,"sum_score",0.55,0.55,NA
"type1_b1_20","Type I (b1=.20)",0.2,0,2000,500,"grm_oracle",0.05,0.05,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,340,500,"sum_score",0.252,0.252,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,340,500,"grm_oracle",0.05,0.05,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,500,500,"sum_score",0.398,0.398,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,500,500,"grm_oracle",0.048,0.048,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,1000,500,"sum_score",0.614,0.614,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,1000,500,"grm_oracle",0.046,0.046,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,2000,500,"sum_score",0.884,0.884,NA
"type1_b1_30","Type I (b1=.30)",0.3,0,2000,500,"grm_oracle",0.054,0.054,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,340,500,"sum_score",0.406,0.406,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,340,500,"grm_oracle",0.036,0.036,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,500,500,"sum_score",0.568,0.568,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,500,500,"grm_oracle",0.054,0.054,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,1000,500,"sum_score",0.836,0.836,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,1000,500,"grm_oracle",0.05,0.05,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,2000,500,"sum_score",0.99,0.99,NA
"type1_b1_40","Type I (b1=.40)",0.4,0,2000,500,"grm_oracle",0.058,0.058,NA
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,340,500,"sum_score",0.454,NA,0.454
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,340,500,"grm_oracle",0.916,NA,0.916
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,500,500,"sum_score",0.606,NA,0.606
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,500,500,"grm_oracle",0.976,NA,0.976
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,1000,500,"sum_score",0.896,NA,0.896
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,1000,500,"grm_oracle",1,NA,1
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,2000,500,"sum_score",0.99,NA,0.99
"grant_power","Grant TMGT (b2=-.14)",0,-0.14,2000,500,"grm_oracle",1,NA,1
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,340,500,"sum_score",0.918,NA,0.918
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,340,500,"grm_oracle",0.998,NA,0.998
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,500,500,"sum_score",0.986,NA,0.986
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,500,500,"grm_oracle",1,NA,1
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,1000,500,"sum_score",1,NA,1
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,1000,500,"grm_oracle",1,NA,1
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,2000,500,"sum_score",1,NA,1
"power_inflect_05","Carter inflect=.5SD",0.2,-0.2,2000,500,"grm_oracle",1,NA,1
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,340,500,"sum_score",0.612,NA,0.612
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,340,500,"grm_oracle",0.634,NA,0.634
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,500,500,"sum_score",0.784,NA,0.784
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,500,500,"grm_oracle",0.816,NA,0.816
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,1000,500,"sum_score",0.964,NA,0.964
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,1000,500,"grm_oracle",0.988,NA,0.988
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,2000,500,"sum_score",0.998,NA,0.998
"power_inflect_10","Carter inflect=1.0SD",0.2,-0.1,2000,500,"grm_oracle",1,NA,1
